Modèles globaux,Modèles régionaux,Date,Niv. réchauffement,Pts T>45,Pts T>50,T_max,Commentaire,,source :,https://www.drias-climat.fr/accompagnement/sections/405,,,
,,04-08-2093,>4.0°C,4270,16,51.2,,,,,,,
,,05-08-2093,>4.0°C,5052,33,51.4,,,,,,,
,,06-08-2093,>4.0°C,4916,215,51.3,,,,,,,
,,12-08-2097,>4.0°C,2080,2,50.2,,Fiable à 100%,,,,,
,HadREM3-GA7-05,11-07-2051,4.0°Cp,2,2,51.5,explosion,Modèle aime faire chauffer sud est de l'hexagone,,,,,
,,28-07-2068,4.0°C,3284,2,50.2,,,,,,,
,,30-07-2068,4.0°C,3872,10,50.9,,,,,,,
,,24-07-2070,>4.0°C,2,1,50.3,explosion,,,,,,
,,10-07-2071,>4.0°C,717,1,50.5,explosion,,,,,,
,,30-06-2076,>4.0°C,4,4,53.6,explosion,,,,,,
,,15-07-2079,>4.0°C,3588,191,51.9,,,,,,,
,,16-07-2079,>4.0°C,1688,24,52.5,,,,,,,
,,10-07-2081,>4.0°C,2459,1,50.1,Pt à 50 quasi isolé,,,,,,
,,07-08-2087,>4.0°C,1415,4,50.5,,,,,,,
,,08-08-2087,>4.0°C,1099,6,51.3,Dans les Alpes ??,,,,,,
,,17-07-2088,>4.0°C,952,2,51.6,,,,,,,
,,29-07-2089,>4.0°C,1298,1,50.2,,,,,,,
,,06-08-2090,>4.0°C,2795,2,50.5,,,,,,,
,,16-08-2090,>4.0°C,1460,1,50.5,,,,,,,
,,17-08-2090,>4.0°C,911,3,50.8,,,,,,,
,,29-06-2091,>4.0°C,5014,724,52.7,,,,,,,
,,30-06-2091,>4.0°C,3255,123,52.1,,,,,,,
,,04-07-2091,>4.0°C,3947,12,51.6,,,,,,,
,,05-07-2091,>4.0°C,4326,112,51.7,,,,,,,
,,06-07-2091,>4.0°C,3943,121,51.7,,,,,,,
,,07-07-2091,>4.0°C,2722,46,51.2,,,,,,,
,,15-07-2091,>4.0°C,5665,23,52.1,,,,,,,
,,16-07-2091,>4.0°C,5251,60,51.8,,,,,,,
,,17-07-2091,>4.0°C,4527,84,52.2,,,,,,,
,,21-06-2092,>4.0°C,9,4,58.8,explosion,,,,,,
,,23-07-2092,>4.0°C,1307,6,51.4,,,,,,,
,,05-07-2093,>4.0°C,325,1,50.0,,,,,,,
,,06-07-2093,>4.0°C,1504,9,51.7,,,,,,,
,,07-07-2093,>4.0°C,886,29,52.2,,,,,,,
,,08-07-2093,>4.0°C,647,21,52.3,,,,,,,
,,09-07-2093,>4.0°C,483,43,53.9,,,,,,,
,,24-07-2093,>4.0°C,5386,2219,54.9,,,,,,,
,,25-07-2093,>4.0°C,1582,3,51.4,,,,,,,
,,03-08-2093,>4.0°C,1950,3,50.1,Bord de mer,,,,,,
,,04-08-2093,>4.0°C,1920,2,50.8,Bord de mer,,,,,,
,,05-08-2093,>4.0°C,1460,12,50.8,,,,,,,
,,06-08-2093,>4.0°C,4038,35,51.4,,,,,,,
,,07-08-2093,>4.0°C,6104,748,52.2,,,,,,,
,,05-07-2094,>4.0°C,341,3,50.4,Bord de mer,,,,,,
,,28-07-2094,>4.0°C,564,1,50.1,,,,,,,
,,20-08-2094,>4.0°C,1198,2,53.3,explosion (pas de point de 47 à 52),,,,,,
,,24-07-2096,>4.0°C,432,1,50.6,,,,,,,
,,11-08-2096,>4.0°C,2538,4,50.8,,,,,,,
,,28-06-2097,>4.0°C,3056,1,50.6,,2 cas 4.0°C fiables,,,,,
,,24-06-2099,>4.0°C,3,2,50.9,explosion,Fiable à 26%,,,,,
,CCLM4-8-17,24-07-2076,>4.0°C,4139,94,52,,,,,,,
,,14-07-2080,>4.0°C,2315,4,50.5,,,,,,,
,,08-07-2082,>4.0°C,878,2,50.4,,,,,,,
,,23-07-2083,>4.0°C,4426,333,52.0,,,,,,,
,,27-06-2088,>4.0°C,263,3,51.9,,,,,,,
,,04-07-2088,>4.0°C,1060,1,50.2,,,,,,,
,,17-07-2088,>4.0°C,268,2,50.0,,,,,,,
,,29-07-2089,>4.0°C,2998,6,50.7,,,,,,,
,,30-07-2089,>4.0°C,2100,3,50.2,,,,,,,
,,06-08-2090,>4.0°C,3101,203,51.4,,,,,,,
,,16-08-2090,>4.0°C,4962,94,51.2,,,,,,,
